"","ID","txt","textChecked"
"1","R_4NOhzkNFH5vjmgl","great politcal complete welcomed encouraging        ","great political complete welcomed encouraging"
"2","R_bJxEaz51rkL6uSV","freedom understanding welfare minorities mexicans blacks asians poverty single mothers food stamps     ","freedom understanding welfare minorities mexicans blacks asians poverty single mothers food stamps"
"3","R_6ExgpX2Il4AGCZT","freedom america greece voting elections        ","freedom america greece voting elections"
"4","R_d0ZkCwvuWcHiGLr","people fairness townhall greece founding fathers republic voting       ","peoplee fairness townhall greece founding fathers republic voting"
"5","R_b7d5XkWemBOtNGZ","freedom fairness choices ethical  people elections voting       ","freedom fairness choices ethical peoplee elections voting"
"6","R_9owwcNXdvaDLdS5","freedom justice future peaceful popular great long lasting helpful vision pride right superior rights liberty happyness graceful powerful friendly common solidarity","freedom justice future peaceful popular great long lasting helpful vision pride right superior rights liberty happiness graceful powerful friendly common solidarity"
"7","R_7OkqVjwBAnNqg4J","ideal happy represetative human rights voting public politician       ","ideal happy representative human rights voting public politician"
"8","R_9NQOoKqRC7yNQYR","freedom fairness freedon religion chance rule  people        ","freedom fairness freedom religion chance rule peoplee"
"9","R_cVfmrsgbGOd1Cpn","mob rules deomcratics group vote america        ","mob rules democratic group vote america"
"10","R_3qRw3JkjFXWc5Dv","majority rules  good many public vote ruled citizens direct representation popular politicians        ","majority rules good many public vote ruled citizens direct representation popular politicians"
"11","R_55qc2vzeLOm7sBT","freedom choice selection equality opportunity fairness possibility politics      ","freedom choice selection equality opportunity fairness possibility politics"
"12","R_bPbzIOZ5CFfi7AN","equality justice voting representation normalicy        ","equality justice voting representation normalcy"
"13","R_cSkeWS530UznowJ","myth power hungry hypocrites fantasy land wish forefathers       ","myth power hungry hypocrites fantasy land wish forefathers"
"14","R_1TYqSl0iFwsEt0h","egalitarian one person one vote freedom mob rule constitution western world voting       ","egalitarian one person one vote freedom mob rule constitution western world voting"
"15","R_6zj1fg665rsO14V","civilization society justice voting election        ","civilization society justice voting election"
"16","R_2iCnyqOAGcooxFj","america representative greece voting people power broken subversion       ","america representative greece voting peoplee power broken subversion"
"17","R_8f9pkCd0kCJVjjn","usa government voting equality fairness        ","usa governmenternment voting equality fairness"
"18","R_9KtIvVTXFjKg8mh","freedom equality people united election        ","freedom equality peoplee united election"
"19","R_eSf4GkXTuCj9gAB","america flags pennsylvania constitution washington dc presidents speeches voting ads      ","america flags pennsylvania constitution washington dc presidents speeches voting ads"
"20","R_8qUNY8WaLMNeSkR","peace people justice equality capitalism human rights       ","peace peoplee justice equality capitalism human rights"
"21","R_7NAdunLz2TRgUXH","freedom voting democrats republicans choices america government       ","freedom voting democrats republicans choices america governmenternment"
"22","R_2gfZvfq8WcikJW5","lie false cruel evil bad        ","lie false cruel evil bad"
"23","R_cMTT9eqWTQSGL53","diversity voices people balance justice bottom- fairness       ","diversity voices peoplee balance justice bottom- fairness"
"24","R_3JExZL7ygDip0QR","freedom america free will loyalty usa declaration independence elections politics      ","freedom america free will loyalty usa declaration independencee elections politics"
"25","R_2rQGbUOGbfr3Tkp","participation republic egalitarianism representation voting        ","participation republic egalitarianism representation voting"
"26","R_9KWWGeIzEwdlgdT","freedom people voting majority matter        ","freedom peoplee voting majority matter"
"31","R_5drB4FnSdAISL77","united states freedom liberty obama monarchy        ","united states freedom liberty obama monarchy"
"32","R_42RKEMJICylHfAp","laws legal citizens unity helping        ","laws legal citizens unity helping"
"33","R_6EcEN628XZc6PnT","choice voice opinion fairness voting representation government usa blue      ","choice voice opinion fairness voting representation governmenternment usa blue"
"34","R_eKv8G6JvqzvWV6J","people freedom government choice vote voting votes republic liberal conservative politics america arguments    ","peoplee freedom governmenternment choice vote voting votes republic liberal conservative politics america arguments"
"35","R_6yepNCPrO6atUXz","government laws america obama republicans        ","governmenternment laws america obama republicans"
"36","R_02FAmNgGDRAkbOZ","greece voting fairness majority republic senator justice       ","greece voting fairness majority republic senator justice"
"37","R_eRlHqe8EJni78R7","freedom liberty peace fairness good        ","freedom liberty peace fairness good"
