,id,name,type,type_long
1,1,human,1,Institution
2,2,order,4,Misc
3,3,nation,3,Group
4,4,conflict,4,Misc
5,5,west,4,Misc
6,6,trad,4,Misc
7,7,tolerance,2,Value
8,8,change,4,Misc
9,9,civil,1,Institution
10,10,country,3,Group
11,11,justice,2,Value
12,12,good,4,Misc
13,13,people,3,Group
14,14,law,1,Institution
15,15,econ,4,Misc
16,16,community,3,Group
17,17,majority,3,Group
18,18,usgov,1,Institution
19,19,rule,1,Institution
20,20,fail,4,Misc
21,21,voice,2,Value
22,22,choice,2,Value
23,23,rights,1,Institution
24,24,election,1,Institution
25,25,party,3,Group
26,26,rep,1,Institution
27,27,equal,2,Value
28,28,govt,1,Institution
29,29,fair,2,Value
30,30,usa,3,Group
31,31,voting,1,Institution
32,32,misc,4,Misc
33,33,freedom,2,Value
