"ResponseID","word1","word2","word3","word4","word5","word6","word7","word8","word9","word10","word11","word12","word13","word14","word15","word16","word17","word18","word19","word20"
"R_4NOhzkNFH5vjmgl","great","politcal","complete","welcomed","encouraging","","","","","","","","","","","","","","",""
"R_bJxEaz51rkL6uSV","Freedom","Understanding","Welfare","Minorities","Mexicans","Blacks","Asians","Poverty","Single Mothers","Food Stamps","","","","","","","","","",""
"R_6ExgpX2Il4AGCZT","Freedom","America","Greece","Voting","Elections ","","","","","","","","","","","","","","",""
"R_d0ZkCwvuWcHiGLr","people","fairness","townhall","greece","founding fathers","republic","voting","","","","","","","","","","","","",""
"R_b7d5XkWemBOtNGZ","freedom","fairness","choices","ethical","we the people","elections","voting","","","","","","","","","","","","",""
"R_9owwcNXdvaDLdS5","freedom","justice","future","peaceful","popular","great","long lasting","helpful","vision","pride","right","superior","rights","liberty","happyness","graceful","powerful","friendly","common","solidarity"
"R_7OkqVjwBAnNqg4J","ideal","happy","represetative","human rights","voting","public ","politician","","","","","","","","","","","","",""
"R_9NQOoKqRC7yNQYR","freedom","fairness","freedon of religion","chance ","rule by the people","","","","","","","","","","","","","","",""
"R_cVfmrsgbGOd1Cpn","mob rules","deomcratics","group","vote","america","","","","","","","","","","","","","","",""
"R_3qRw3JkjFXWc5Dv","majority rules ","the good of many ","public vote","ruled by citizens ","direct representation ","popular politicians ","","","","","","","","","","","","","",""
"R_55qc2vzeLOm7sBT","Freedom","Choice","Selection","Equality","Opportunity","Fairness","Possibility","Politics","","","","","","","","","","","",""
"R_bPbzIOZ5CFfi7AN","equality","justice","voting","representation","normalicy","","","","","","","","","","","","","","",""
"R_cSkeWS530UznowJ","myth","power hungry","hypocrites","fantasy land","I wish","forefathers","","","","","","","","","","","","","",""
"R_1TYqSl0iFwsEt0h","egalitarian","one person one vote","freedom","mob rule","constitution","western world","voting","","","","","","","","","","","","",""
"R_6zj1fg665rsO14V","civilization","society","justice","voting","election","","","","","","","","","","","","","","",""
"R_2iCnyqOAGcooxFj","America","representative","Greece","voting","people power","broken","subversion of","","","","","","","","","","","","",""
"R_8f9pkCd0kCJVjjn","USA","Government","Voting","Equality","Fairness","","","","","","","","","","","","","","",""
"R_9KtIvVTXFjKg8mh","freedom","equality","people","united","election","","","","","","","","","","","","","","",""
"R_eSf4GkXTuCj9gAB","America","Flags","Pennsylvania","Constitution","Washington DC","Presidents","Speeches","Voting","Ads","","","","","","","","","","",""
"R_8qUNY8WaLMNeSkR","peace","people","justice","equality","capitalism","human rights","","","","","","","","","","","","","",""
"R_7NAdunLz2TRgUXH","freedom","voting","democrats","republicans","choices","America","government","","","","","","","","","","","","",""
"R_2gfZvfq8WcikJW5","lie","false","cruel","evil","bad","","","","","","","","","","","","","","",""
"R_cMTT9eqWTQSGL53","Diversity","Voices","People","Balance","Justice","Bottom-up","Fairness","","","","","","","","","","","","",""
"R_3JExZL7ygDip0QR","freedom","america","free will","loyalty","usa","declaration of independence","elections","politics","","","","","","","","","","","",""
"R_2rQGbUOGbfr3Tkp","participation","republic","egalitarianism","representation","voting","","","","","","","","","","","","","","",""
"R_9KWWGeIzEwdlgdT","freedom","people","voting","majority","matter","","","","","","","","","","","","","","",""
"R_5drB4FnSdAISL77","United States","Freedom","Liberty","Obama","Monarchy","","","","","","","","","","","","","","",""
"R_42RKEMJICylHfAp","laws","legal","citizens","unity","helping","","","","","","","","","","","","","","",""
"R_6EcEN628XZc6PnT","choice","voice","opinion","fairness","voting","representation","government","USA","blue","","","","","","","","","","",""
"R_eKv8G6JvqzvWV6J","people","freedom","government","choice","vote","voting","votes","republic","liberal","conservative","politics","america","arguments","","","","","","",""
"R_6yepNCPrO6atUXz","government","laws","america","obama","republicans","","","","","","","","","","","","","","",""
"R_02FAmNgGDRAkbOZ","greece","voting","fairness","majority","republic","senator","justice","","","","","","","","","","","","",""
"R_eRlHqe8EJni78R7","freedom","liberty","peace","fairness","good","","","","","","","","","","","","","","",""
"R_esQE78STXQhcPVX","freedom","cooperation","collaboration","vote","popular opinion","","","","","","","","","","","","","","",""
"R_6fGsUkZY94shvAp","wolves and sheep voting for dinner","mob rule","degeneration","welfare","public trough ","centralization of the State","high taxes","dominated by special interests","war of all against all","secret band of murderers and thieves","violation of the natural law","absurdity of social contract","","","","","","","",""
"R_7V9MUzbbpUyQ53T","Voting","Popular","Universal","Freedom","Political","Suffrage","Election","Republican Tradition","French Revolution","American Revolution","","","","","","","","","",""
"R_cAVArj6KPn12eOh","Voting","Elections","President","Checks and Balances","Laws","Rights","Constitution","","","","","","","","","","","","",""
"R_3DJljUtJCMMYOm9","voting","freedom","majority rules","rights","people rule","","","","","","","","","","","","","","",""
"R_etclPrR4dxe1Dnv","freedom","choice","liberty","pursuit of happiness","voting","America","President","","","","","","","","","","","","",""
"R_ebAAgSP864u8U3b","sham","fake","misunderstood","old idea","good idea on paper","the US is not a true democracy","Most people mistake most first world countries as democracies","","","","","","","","","","","","",""
"R_3I7z8bE6TO1kfNX","unity","together","one","friendly","careful","","","","","","","","","","","","","","",""
"R_3D9Gm0OGRh6a5Fj","voting","elections","politicians","congress","president","america","india","china","people","US flag","","","","","","","","","",""
"R_eQ01u5o1GcH2kfP","democrats","replubicans","conservative ","liberal","Clinton","health care","gun control","","","","","","","","","","","","",""
"R_3z7T2tkWDcu4jsN","Athens","Greece","USA","Freedom","Voting","Chaos","Corruption","Election","Government","Ballots","","","","","","","","","",""
"R_e9YM9fkBZ4oXqF7","Voting","Minority rights","Representation","Plurality","Checks and balances","One person one vote","Big money","","","","","","","","","","","","",""
"R_0VunF67OlFkrRwF","Equality of opportunity","Egalitarianism","Power to the people","People choosing their government","Choice","Results","Society","Lack of corruption","No corporate rule","Free and fair elections","","","","","","","","","",""
"R_8nXWuTfiyvHtpXL","Freedom","Choice","Free Speach","Voting","Elections","Representation","Fair","Just","","","","","","","","","","","",""
"R_4HeOPawabyxACWN","freedom","liberty","voting","election","society","","","","","","","","","","","","","","",""
"R_09womCBTjXlhFkx","Freedom","Choice","Guns","money","G.Washington","Abraham Lincoln","Civil War","Murica","Fast food","Imigration","Curruption","Corn","Indians","Iphone","Microsoft","Enron","Lawyers","Potato chips","F-86 Sabre","Racism"
"R_3dCagm4jSk9R6UR","FREEDOM","FREE SPEECH","THE RIGHT TO HOLD A PROTEST","THE RIGHT TO VOTE","THE RIGHT TO AN EDUCATION","THE RIGHT TO CHOOSE WHATEVER CAREER I WANT ","PEACE","UNITY","IDEAS","COMMUNITY","AMERICAN","","","","","","","","",""
"R_d3Y2epMIlq2FqRL","voting","freedom","rights","people","America","fight","quality","","","","","","","","","","","","",""
"R_cVebLscSDgSFyst","equality","voting ","suffrage","election day","ballots","politicians","congress","political parties","","","","","","","","","","","",""
"R_9ot2uuRvQbKFIR7","voting","limited choices","majority opinion","persuasion","politics","political parties","republicans and democrats","liberals and conservatives","equality","","","","","","","","","","",""
"R_5BiR2p7Ff9cLEKp","taxes","lies","voting","job pay","unemployment","","","","","","","","","","","","","","",""
"R_8uZLn5C4WX8uTbf","elections","representation","accountability","choice","people","enfranchisement","diversity","term limits","rights","equality","","","","","","","","","",""
"R_6X5QBXROewCTYd7","freedom","justice","liberty","everybody has a say","peaceful","progressive","fair","balanced","United States","pride","worth fighting for","what people what","desire spread by the internet","","","","","","",""
"R_1O0e1dYSpkaw83b","freedom","choice","respect","government","mob rule","legislation","town hall","representative","senate","presidency","law","rules","","","","","","","",""
"R_9Hp3hhwrzFiyqrz","freedom","justice","independence","equal voting rights","choosing who to vote for","happiness","achievement","closer to utopia","","","","","","","","","","","",""
"R_50aV2fe9kiqTDal","Public","Voting","Freedom","United","People","Majority","Opportunity","","","","","","","","","","","","",""
"R_eyWg6P7fFy2vMIR","freedom","curse","mystery","wondeful","creation","","","","","","","","","","","","","","",""
"R_29IU37aiqP9pskl","vote","we the people","representation","government","freedom","equality","","","","","","","","","","","","","",""
"R_eWj55PA9PBxnsbP","freedom","equality ","voting ","division of power ","capitalism ","","","","","","","","","","","","","","",""
"R_5okFXdG8gdxK353","freedom of choice","right to an independent life","economic success","justice for all","an adequate minimum for salaries","the chance to succeed","","","","","","","","","","","","","",""
"R_4UzCFEqC1yT9g7H","United Nations","Politics","President","Governer","Mayor","Senate","Amendments","Republican","","","","","","","","","","","",""
"R_bBDgTcdYv2FuBmZ","voting","america","freedom","choice","elections","issues","debates","justice","consttitution","rights","","","","","","","","","",""
"R_8dBmAej5ZmJuRY9","working class","by the people","welfare","handouts","clinton","carter","obama","shady","clickish","political party","","","","","","","","","",""
"R_cRXirkIElh3E4BL","People","Choice","Slow","Arguing","Revolution","White and black rocks","Our Government","Voices","Vote","","","","","","","","","","",""
"R_afLuzGgdC7c90nr","Sad","Interesting","Different","Controversial ","Difficult","","","","","","","","","","","","","","",""
"R_5iq6PgGM4n5TDF3","usa","fair and equal treatment","the constitution","freedom","rights","congress","presidential elections","","","","","","","","","","","","",""
"R_cFGOrgCc3Kw4tsF","Elections","Voting","Freedom","People","Majority","Representative","Western","Modern","Justice","Leaders","","","","","","","","","",""
"R_5oS1NfLkcdI6Lzv","Freedom","Choice","Voice","Prosperity","Power","Influence","Participation","Equality","Fariness","Justice","","","","","","","","","",""
"R_cU7v5dEfINIJIZn","majority","freedom","fairness","people","vote","truth","","","","","","","","","","","","","",""
"R_dpf2RqrSPObRNch","equality","freedom","justice","america","politics","government","","","","","","","","","","","","","",""
"R_dbxk9hpCuozJn6J","Government","Being able to vote","Bill Clinton","Democrats","People have the right to choose","Glad it's not a monarchy","","","","","","","","","","","","","",""
"R_2tyNOaK9od0pJLn","vote","freedom","flawed","politics","groupthink","abuse","regulation","nationalism","","","","","","","","","","","",""
"R_0HCkWrMELhyhjEh","fair","honest","shared","equal","republic","vote","president","representative","representation","tax","election","equality","nation","party","system","two","republican","democrat","judicial","legislative"
"R_bxrszAvnHSWFI7b","freedom","equality ","government","laws","rules","liberial","civil liberties","","","","","","","","","","","","",""
"R_0JVBNTO0vYzkuZT","choice","freedom","rights","civilization","society","vote","representation","decision","majority","organization","responsibility","helping","forming","leading","exemplary","people","unity","disagreement","unison","we complete each other"
"R_eKI1Id9fWs35zxP","ability to vote","freedom of choice","political parties","liberal vs. conservative","general elections","political campaigns","candidates debating","government ","president","house of representatives","congress","","","","","","","","",""
"R_0DPvNwtBNRt8REh","liberty","freedom","pursuit of happiness","right to free speach","right to bear arms","right to vote","religous freedom","right to be yourself","opportunity","everyone equal","no royalty","","","","","","","","",""
"R_bBGKzcCPHbC3kEt","Vote","Representation of People","Three Branches","President","House of Representatives","Congress","Senators ","Bureaucracy ","","","","","","","","","","","",""
"R_eKwCVdf8zu9ooS1","Vote","Majority","Fair","America","Government","Justice","","","","","","","","","","","","","",""
"R_7Pt2aQSn3PmgNnL","freedom","voting","politics","choice","government","capitalism","opportunity","","","","","","","","","","","","",""
"R_eDJlFws2yIMXIqx","Voting","Choice","Rights","Elections","Freedom","","","","","","","","","","","","","","",""
